visitIDs,site,jsCookies,party
415,americanpoliticnews.com,4,right
423,reclaimdemocracy.org,4,left
426,occupydemocrats.com,4,left
428,gotnews.com,4,right
438,spinzon.com,4,right
440,rinf.com,4,left
442,forwardprogressives.com,4,left
446,thedailynewsbox.com,4,right
448,conservativearmy88.com,4,right
449,anotherdayintheempire.com,4,left
451,washingtonjournal.com,4,left
460,thepopulist.buzz,4,left
472,justicewriters.com,4,left
474,equalvoiceforfamilies.org,4,left
478,dailyleak.org,4,left
480,cooltobeconservative.com,4,right
486,rednationrising.us,4,right
487,thenewyorkevening.com,4,right
493,politicspaper.com,4,right
501,newcenturytimes.com,4,left
502,libertywriters.com,4,right
503,libertynews.com,4,right
550,dailyusaupdate.com,4,right
483,bluetribune.com,3.5,left
263,americonnews.com,3,right
326,conservative101.com,3,right
406,leftscoop.com,3,left
419,truthexaminer.com,3,left
436,americannewsx.com,3,left
445,politicalillusionsexposed.com,3,right
447,thinkrightpolitics.com,3,right
459,trofire.com,3,left
467,newsfrompolitics.com,3,right
468,mrcblog.com,3,right
473,greenvillegazette.com,3,left
476,discoverthenetworks.org,3,right
479,cscmediagroupus.com,3,right
482,c4ss.org,3,left
484,blacklivesmatterexposed.com,3,right
489,leftwingnation.org,3,left
510,lettucetalkaboutit.com,3,right
515,nutbarfactor.com,3,right
551,itsgoingdown.org,3,left
554,newsbreakshere.com,3,right
485,allpoliticalnews.com,2.5,right
156,liberalmountain.com,2,left
168,americannews.com,2,right
252,democraticreview.com,2,left
340,liberalsociety.com,2,left
383,thepoliticalvoice.com,2,left
394,liberalplug.com,2,left
452,washingtonfeed.com,2,right
453,vanguardofliberty.org,2,right
458,trumpers.online,2,right
463,politicalupdater.com,2,left
465,politicalears.com,2,right
466,patdollard.com,2,right
475,donaldtrumppotus45.com,2,right
477,departed.co,2,right
488,thepoliticalherald.com,2,right
496,truthfeed.com,2,right
498,resistancereport.com,2,left
499,newsninja2012.com,2,right
504,janmorganmedia.com,2,right
506,analogpolitics.com,2,right
507,theexaminer.site,2,right
519,foundingbloggers.com,2,right
527,politicalinbox.com,2,right
531,newpol.org,2,left
500,newobserveronline.com,1.5,right
154,aattp.org,1,left
404,americanfreedomblog.com,1,right
462,rednecknewswire.com,1,right
491,newpoliticstoday.com,1,right
495,conservativeflashnews.com,1,right
511,amposts.com,1,right
512,viralhubbub.com,1,right
513,usaworldbox.com,1,right
516,usanewspolitics.com,1,right
517,totalworldnews.com,1,right
518,redconservativeclub.com,1,right
520,consamerica.com,1,right
521,usanewsinsider.com,1,right
522,redrightrepublic.com,1,right
523,instaworldnews.com,1,right
524,thetrumpmedia.com,1,right
525,redcountry.us,1,right
526,proamericanews.com,1,right
528,patrioticfolks.com,1,right
532,lonelyconservative.com,1,right
533,libertywritersnews.com,1,right
534,learnprogress.org,1,left
535,jamieglazov.com,1,right
536,groopspeak.com,1,left
538,democratizeus.com,1,left
539,conservativedailyreview.com,1,right
542,bients.com,1,left
543,arcmedia.org,1,right
544,allenbwest.com,1,right
546,againstcronycapitalism.org,1,left
549,federalisttribune.com,1,right
553,thedailypatriots.com,1,right
556,departedmedia.com,1,right
82,topsecretleaks.com,0,right
97,4threvolutionarywar.wordpress.com,0,left
113,politicalblindspot.com,0,left
120,100percentfedup.com,0,right
126,21stcenturywire.com,0,left
182,shark-tank.com,0,right
185,silenceisconsent.net,0,right
196,unhyphenatedamerica.org,0,right
228,toprightnews.com,0,right
264,truth-out.org,0,left
311,63red.com,0,right
332,rightforever.com,0,right
363,beingliberal.org,0,left
366,viraldeplorables.com,0,right
384,theleftcoaster.com,0,left
397,ifyouonlynews.com,0,left
414,dailynewscycle.com,0,right
424,proud-patriots.com,0,right
425,other98.com,0,left
430,dailyinfo.co,0,right
441,libertytalk.fm,0,right
455,usaviralpolitics.com,0,right
457,trumpvision365.com,0,right
470,libertyviral.com,0,right
490,westsentinel.com,0,right
492,goneleft.com,0,left
497,resistmedia.org,0,left
505,blue-route.org,0,left
509,24usnews.com,0,right
514,cosmo-politics.com,0,right
530,news-4.us,0,right
547,usainfonews.com,0,right
548,anews-24.com,0,right
555,nationalinsiderpolitics.com,0,right
